0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:18:51 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:18:51 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:18:51 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:09 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:09 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:09 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:09 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:10 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:10 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:42 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:42 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:42 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:42 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:42 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:19:42 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:36 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:36 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:36 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:36 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:36 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:36 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:34:43 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:36:39 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:36:39 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:36:39 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:37:33 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:37:33 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:37:33 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:38:03 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:38:03 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:38:03 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:38:03 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:38:27 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [19/Mar/2017:10:38:27 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 304 -
